Interval,Mean_G,Mean_n_ln2,S_est,R(I_k),L_right,Z_full
"[1000000, 1300000)",6905.54758,5903.125177686419,2.3396243081893973,1.052759012657417,1300000,-0.0007010335806246461
"[1300000, 1600000)",8403.733166666667,7202.708392638661,2.333492544347757,1.0718747127416128,1600000,-0.0016756948475995011
"[1600000, 1900000)",9855.632326666666,8467.51328913946,2.327869349625379,1.0841993692849323,1900000,0.002204394706449185
"[1900000, 2200000)",11281.865006666669,9704.64914544896,2.325043355525604,1.0937043980000187,2200000,-0.0015406517912206713
"[2200000, 2500000)",12669.35744,10918.924467319006,2.320623698409151,1.0998318312422508,2500000,-0.00017806238062153848
"[2500000, 2800000)",14037.908686666668,12113.7958693136,2.3176729801477323,1.1048730756633864,2800000,0.0012393002366189322
"[2800000, 3100000)",15387.679313333334,13291.860426011614,2.315353730802092,1.1089562862942666,3100000,0.001066854861465662
"[3100000, 3400000)",16722.110326666665,14455.136113749148,2.313656570934848,1.1124144034663055,3400000,-0.0011394527068429386
"[3400000, 3700000)",18029.1303,15605.232992576584,2.3106518574348063,1.1145444554891977,3700000,-0.00019401028791220552
"[3700000, 4000000)",19331.523673333333,16743.463449221807,2.309142756749269,1.1168540010695986,4000000,-0.0002614934961052371
"[4000000, 4300000)",20616.69668,17870.916303352096,2.307290385119522,1.1185704441191495,4300000,-0.00012373746115227005
"[4300000, 4600000)",21887.5423,18988.50840208409,2.305346142680456,1.1198983403057985,4600000,0.0010875142753969797
"[4600000, 4900000)",23152.721406666667,20097.021609730546,2.3040947913850696,1.121282480007228,4900000,0.001475522607863525
"[4900000, 5200000)",24413.978333333333,21197.1299944869,2.3035173478374755,1.1227637850647345,5200000,-0.0002084108878537864
"[5200000, 5500000)",25657.6689,22289.420241573924,2.3022284673105733,1.1237052664328402,5500000,-0.00179433424307316
"[5500000, 5800000)",26881.72482666667,23374.407267666964,2.3000989517155594,1.1240723273102082,5800000,-0.001236508738354026
"[5800000, 6100000)",28106.943173333333,24452.54636080455,2.298897035802086,1.1247528055878624,6100000,-0.00034752011683960806
"[6100000, 6400000)",29326.91908,25524.24275588365,2.297965848427749,1.1254461036537935,6400000,0.00016495611673830997
"[6400000, 6700000)",30532.99834,26589.859285016548,2.296589689529152,1.1258178108220798,6700000,0.0013412093483047719
"[6700000, 7000000)",31745.24825333333,27649.722560560014,2.2962435289397973,1.1266043158017789,7000000,0.0013491662625330703
"[7000000, 7300000)",32950.526293333336,28704.12802439909,2.2958736990947584,1.1273005821430269,7300000,0.0001773759536364061
"[7300000, 7600000)",34134.97144666667,29753.344110368213,2.294530075009053,1.127449021809913,7600000,-0.0002168397906767117
"[7600000, 7900000)",35318.97488666666,30797.61570512285,2.2936174816150934,1.1277473066446402,7900000,-0.0003356332200627111
"[7900000, 8200000)",36495.78907333333,31837.167048357263,2.2926530503106712,1.1279650618059105,8200000,-0.00021532473282497448
"[8200000, 8500000)",37667.75326,32872.20418075604,2.2917692438799926,1.128173266600706,8500000,0.00011630766673336913
"[8500000, 8800000)",38845.367626666666,33902.91702396209,2.2915649175090937,1.1286719664953762,8800000,-0.0003021175812825252
"[8800000, 9100000)",40006.91466666666,34929.48115875119,2.290724816944118,1.1288178916441158,9100000,-0.0006426389202706298
"[9100000, 9400000)",41164.262226666666,35952.059353873025,2.289952952151663,1.128961459422572,9400000,-0.0007407548839157653
"[9400000, 9700000)",42317.19813333333,36970.80288748992,2.289222566364796,1.129092849912615,9700000,-0.0007453802531069337
"[9700000, 10000000)",43463.87294,37985.85269499455,2.288424234621817,1.12916102649183,10000000,-0.0005471942633467963
